Date,State,County,Latitude,Longitude,StateAbbr,county_fips,population,median_income,poverty_rate,file
2020-01-01,Alabama,Choctaw County,32.01962,-88.26318,AL,23.0,12755.0,36634.0,0.1971,2020 ACS 5yr
2020-01-01,Alabama,Perry County,32.63849,-87.29435,AL,105.0,9104.0,23875.0,0.3605,2020 ACS 5yr
2020-01-01,Alabama,Russell County,32.28835,-85.18472,,,,,,2020 ACS 5yr
2020-01-01,Alabama,Wilcox County,31.98925,-87.30832,AL,131.0,10552.0,35063.0,0.2762,2020 ACS 5yr
2020-01-01,Alabama,Chambers County,32.91425,-85.392,AL,17.0,33427.0,43875.0,0.154,2020 ACS 5yr
2020-01-01,Alabama,Hale County,32.76262,-87.62905,AL,65.0,14754.0,30793.0,0.2459,2020 ACS 5yr
2020-01-01,Alabama,Mobile County,30.71091,-88.19728,AL,97.0,413977.0,49625.0,0.1787,2020 ACS 5yr
2020-01-01,Alabama,Madison County,34.76312,-86.55019,AL,89.0,367686.0,66887.0,0.1144,2020 ACS 5yr
2020-01-01,Alabama,Blount County,33.98085,-86.56739,AL,9.0,57755.0,48922.0,0.1374,2020 ACS 5yr
2020-01-01,Alabama,Morgan County,34.45346,-86.85288,AL,103.0,119352.0,52923.0,0.1487,2020 ACS 5yr
2020-01-01,Alabama,Baldwin County,30.68827,-87.74721,AL,3.0,218289.0,61756.0,0.0917,2020 ACS 5yr
2020-01-01,Alabama,Etowah County,34.04523,-86.03474,AL,55.0,102721.0,44934.0,0.1597,2020 ACS 5yr
2020-01-01,Alabama,Monroe County,31.57076,-87.36547,AL,99.0,21006.0,31969.0,0.2402,2020 ACS 5yr
2020-01-01,Alabama,DeKalb County,34.52114,-85.68458,AL,49.0,71430.0,42267.0,0.2071,2020 ACS 5yr
2020-01-01,Alabama,Limestone County,34.81004,-86.9814,AL,83.0,96921.0,64270.0,0.1268,2020 ACS 5yr
2020-01-01,Alabama,Clarke County,31.67661,-87.8308,,,,,,2020 ACS 5yr
2020-01-01,Alabama,Montgomery County,32.22038,-86.2077,,,,,,2020 ACS 5yr
2020-01-01,Alabama,Randolph County,33.29369,-85.45915,AL,111.0,22732.0,45141.0,0.1878,2020 ACS 5yr
2020-01-01,Alabama,Jackson County,34.77944,-85.99925,AL,71.0,51765.0,42578.0,0.1788,2020 ACS 5yr
2020-01-01,Alabama,Elmore County,32.59667,-86.14899,AL,51.0,81526.0,62324.0,0.1058,2020 ACS 5yr
2020-01-01,Alabama,Marion County,34.13654,-87.88726,AL,93.0,29818.0,40978.0,0.1728,2020 ACS 5yr
2020-01-01,Alabama,Washington County,31.40759,-88.20787,AL,129.0,16336.0,42331.0,0.1484,2020 ACS 5yr
2020-01-01,Alabama,Tuscaloosa County,33.28957,-87.52506,AL,125.0,208854.0,54283.0,0.1721,2020 ACS 5yr
2020-01-01,Alaska,Anchorage Borough,61.21753,-149.8582,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Fairbanks North Star Borough,64.8085,-146.5635,AK,90.0,98455.0,76464.0,0.0655,2020 ACS 5yr
2020-01-01,Alaska,Aleutians East Borough,54.90956,-162.4774,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Lake and Peninsula Borough,58.26815,-157.0791,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Kenai Peninsula Borough,60.53746,-150.763,AK,122.0,58809.0,69245.0,0.1268,2020 ACS 5yr
2020-01-01,Alaska,Matanuska-Susitna Borough,61.58225,-149.4453,AK,170.0,107360.0,76118.0,0.1029,2020 ACS 5yr
2020-01-01,Alaska,Kusilvak Census Area,62.09,-163.53,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Juneau Borough,58.29973,-134.4068,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Bethel Census Area,60.75,-160.5,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Matanuska-Susitna Borough,62.30446,-149.5786,,,,,,2020 ACS 5yr
2020-01-01,Alaska,,63.17412,-153.7043,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Petersburg Borough,57.11295,-133.0011,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Denali Borough,63.67347,-150.0089,AK,68.0,2502.0,76364.0,0.1413,2020 ACS 5yr
2020-01-01,Alaska,Kenai Peninsula Borough,60.50043,-151.0898,AK,122.0,58809.0,69245.0,0.1268,2020 ACS 5yr
2020-01-01,Alaska,Ketchikan Gateway Borough,55.3421,-131.6478,AK,130.0,13833.0,74678.0,0.0877,2020 ACS 5yr
2020-01-01,Alaska,Nome Census Area,65.02331,-163.4512,,,,,,2020 ACS 5yr
