Date,MRNA,PFE,BNTX,ABT,AMZN,ZM,PTON,DAL,UAL,MAR,HLT,CCL,RCL,M,KSS
2020-03-16,26.489999771118164,22.97184944152832,39.47711944580078,67.13146209716797,84.4574966430664,107.86000061035156,22.25,35.17000961303711,35.470001220703125,83.9692153930664,68.79711151123047,14.569999694824219,29.697399139404297,5.834926605224609,14.435997009277344
2020-03-17,28.18000030517578,24.47894287109375,65.72940063476562,72.44476318359375,90.39199829101562,111.0999984741211,25.450000762939453,31.172740936279297,30.670000076293945,73.10625457763672,64.13743591308594,12.710000038146973,27.43587303161621,5.826229572296143,12.912342071533203
2020-03-18,31.579999923706055,24.631175994873047,90.79737854003906,72.23514556884766,91.5,118.70999908447266,25.790000915527344,23.070188522338867,21.3799991607666,62.000404357910156,56.07448196411133,9.300000190734863,22.14906120300293,5.39143705368042,11.841378211975098
2020-03-19,28.270000457763672,23.154525756835938,58.52482986450195,67.89701843261719,94.04650115966797,123.7699966430664,24.989999771118164,21.125572204589844,21.280000686645508,64.90562438964844,57.41006851196289,10.0,22.228410720825195,5.817534923553467,13.049059867858887
2020-03-20,28.200000762939453,22.081283569335938,45.89215087890625,61.973121643066406,92.30449676513672,130.5500030517578,23.010000228881836,20.96843719482422,24.5,72.46497344970703,60.941925048828125,12.0,23.617067337036133,5.2349114418029785,12.038858413696289
2020-03-23,26.56999969482422,21.68548583984375,50.63927459716797,57.25223159790039,95.1415023803711,159.55999755859375,23.34000015258789,21.822887420654297,26.25,68.14117431640625,62.65345001220703,12.0,27.961580276489258,4.182711124420166,9.942503929138184
2020-03-24,25.81999969482422,22.60648536682129,52.93881607055664,63.51333999633789,97.00499725341797,135.17999267578125,24.56999969482422,26.409423828125,33.0,76.89566802978516,68.64871215820312,13.680000305175781,34.19069290161133,4.9218597412109375,12.63131046295166
2020-03-25,27.1299991607666,22.644546508789062,46.58300018310547,64.4793930053711,94.29199981689453,138.11000061035156,24.520000457763672,30.5441837310791,36.599998474121094,82.8323745727539,71.47814178466797,15.550000190734863,42.06635665893555,5.747966766357422,13.444025993347168
2020-03-26,27.940000534057617,24.1668701171875,54.28104019165039,69.0909194946289,97.77449798583984,141.14999389648438,25.75,31.133460998535156,35.54999923706055,80.46157836914062,72.4179916381836,17.81999969482422,40.28094482421875,5.16534423828125,13.641509056091309
2020-03-27,30.049999237060547,23.519880294799805,54.28104019165039,67.95170593261719,95.00499725341797,151.6999969482422,25.979999542236328,29.021883010864258,32.84000015258789,76.61388397216797,68.41126251220703,14.40999984741211,34.2204475402832,4.80881404876709,13.330093383789062
2020-03-30,30.479999542236328,24.867137908935547,61.189537048339844,72.30805206298828,98.19750213623047,150.8800048828125,27.700000762939453,28.157611846923828,30.15999984741211,74.00016021728516,67.9462890625,12.800000190734863,29.52877426147461,4.669679641723633,12.175580024719238
2020-03-31,29.950000762939453,24.84430503845215,57.6365966796875,71.91617584228516,97.48600006103516,146.1199951171875,26.549999237060547,28.02011489868164,31.549999237060547,72.6884536743164,67.51100158691406,13.170000076293945,31.909326553344727,4.269669532775879,11.081829071044922
2020-04-01,29.670000076293945,24.1668701171875,52.22822570800781,69.78355407714844,95.38500213623047,137.0,27.959999084472656,23.443397521972656,25.649999618530273,67.18895721435547,62.36654281616211,8.800000190734863,25.561189651489258,3.8522682189941406,9.828570365905762
2020-04-02,33.20000076293945,25.01936912536621,56.166072845458984,72.39917755126953,95.94149780273438,121.93000030517578,26.739999771118164,22.2746639251709,23.420000076293945,61.2133674621582,57.241878509521484,7.96999979019165,24.618885040283203,3.8696601390838623,8.894323348999023
2020-04-03,34.84000015258789,25.605470657348633,52.06045150756836,72.40829467773438,95.32949829101562,128.1999969482422,28.75,22.078237533569336,22.889999389648438,57.404544830322266,55.34239196777344,8.489999771118164,24.192367553710938,4.182711124420166,8.742414474487305
2020-04-06,34.63999938964844,26.31334686279297,52.04071044921875,75.39761352539062,99.87950134277344,122.94000244140625,28.3700008392334,21.921098709106445,24.020000457763672,68.58812713623047,63.11842346191406,10.210000038146973,29.370073318481445,4.8957719802856445,10.747623443603516
2020-04-07,32.02000045776367,25.582632064819336,45.00391387939453,74.66851043701172,100.58000183105469,113.75,27.579999923706055,21.852352142333984,24.479999542236328,71.72653198242188,65.1267318725586,11.300000190734863,33.27814865112305,5.139256000518799,12.91993522644043
2020-04-08,32.41999816894531,26.3361759185791,44.3624153137207,77.42083740234375,102.1500015258789,117.80999755859375,27.5,22.814834594726562,27.510000228881836,80.18951416015625,69.34123992919922,11.989999771118164,37.25565719604492,5.226215839385986,13.307305335998535
2020-04-09,31.860000610351562,26.937496185302734,44.81639862060547,78.4142074584961,102.13800048828125,124.51000213623047,28.450000762939453,23.954103469848633,31.5,79.00411224365234,67.71873474121094,12.420000076293945,39.894100189208984,5.791446685791016,15.122631072998047
2020-04-13,32.900001525878906,26.747207641601562,41.164764404296875,78.24104309082031,108.44349670410156,135.9199981689453,31.989999771118164,22.834476470947266,28.90999984741211,75.87542724609375,65.92806243896484,11.5,33.099605560302734,5.356653213500977,14.271934509277344
2020-04-14,34.65999984741211,27.73671531677246,41.085811614990234,81.58158111572266,114.16600036621094,141.88999938964844,31.8799991607666,24.101425170898438,30.899999618530273,80.33525848388672,69.26207733154297,12.510000228881836,37.533382415771484,5.39143705368042,14.439035415649414
2020-04-15,37.25,27.37897300720215,38.07568359375,83.22895812988281,115.38400268554688,151.55999755859375,35.61000061035156,23.914819717407227,31.860000610351562,78.44056701660156,69.12357330322266,12.380000114440918,36.68035125732422,4.982731342315674,13.436429977416992
